Date,Open,High,Low,Close,Wilder's RSI 14,Commodity Channel Index (CCI) 14,,,,,,
9/3/2019 13:38,,,,,,,,,,,,
9/3/2019 13:39,,,,,,,,,,,,
9/3/2019 13:40,,,,,,,,,,,,
9/3/2019 13:41,,,,,,,,,,,,
9/3/2019 13:42,,,,,,,,,,,,
9/3/2019 13:43,,,,,,,,,,,,
9/3/2019 13:44,,,,,,,,,,,,
9/3/2019 13:45,,,,,,,,,,,,
9/3/2019 13:46,,,,,,,,,,,,
9/3/2019 13:47,,,,,,,,,,,,
9/3/2019 13:48,,,,,,,,,,,,
9/3/2019 13:49,,,,,,,,,,,,
9/3/2019 13:50,,,,,,,,,,,,
9/3/2019 13:51,,,,,,,,,,,,
9/3/2019 13:52,,,,,,,,,,,,
9/3/2019 13:53,,,,,,,,,,,,
9/3/2019 13:54,,,,,,,,,,,,
9/3/2019 13:55,,,,,,,,,,,,
9/3/2019 13:56,,,,,,,,,,,,
9/3/2019 13:57,,,,,,,,,,,,
9/3/2019 13:58,,,,,,,,,,,,
9/3/2019 13:59,,,,,,,,,,,,
9/3/2019 14:00,,,,,,,,,,,,
9/3/2019 14:01,,,,,,,,,,,,
9/3/2019 14:02,,,,,,,,,,,,
9/3/2019 14:03,,,,,,,,,,,,
9/3/2019 14:04,,,,,,,,,,,,
9/3/2019 14:05,,,,,,,,,,,,
9/3/2019 14:06,,,,,,,,,,,,
9/3/2019 14:07,,,,,,,,,,,,
9/3/2019 14:08,,,,,,,,,,,,
9/3/2019 14:09,,,,,,,,,,,,
9/3/2019 14:10,,,,,,,,,,,,
9/3/2019 14:11,185.29,185.31,185.25,185.3,,,,,,,,
9/3/2019 14:12,185.3,185.36,185.26,185.34,,,,,,,,
9/3/2019 14:13,185.33,185.36,185.3,185.31,,,,,,,,
9/3/2019 14:14,185.31,185.31,185.19,185.24,,,,,,,,
9/3/2019 14:15,185.24,185.31,185.23,185.27,,,,,,,,
9/3/2019 14:16,185.27,185.29,185.19,185.2,,,,,,,,
9/3/2019 14:17,185.2,185.22,185.15,185.2,,,,,,,,
9/3/2019 14:18,185.2,185.24,185.17,185.21,,,,,,,,
9/3/2019 14:19,185.21,185.21,185.17,185.17,,,,,,,,
9/3/2019 14:20,185.17,185.18,185.08,185.12,,,,,,,,
9/3/2019 14:21,185.11,185.23,185.11,185.22,,,,,,,,
9/3/2019 14:22,185.22,185.3,185.2,185.24,,,,,,,,
9/3/2019 14:23,185.24,185.24,185.16,185.18,,,,,,,,
9/3/2019 14:24,185.18,185.18,185.12,185.13,,-110.4801,,,,,,
9/3/2019 14:25,185.14,185.16,185.07,185.09,,-136.5333,,,,,,
9/3/2019 14:26,185.09,185.13,185.09,185.11,34.92129,-120.6161,,,,,,
9/3/2019 14:27,185.11,185.19,185.1,185.17,40.97459,-51.54136,,,,,,
9/3/2019 14:28,185.17,185.22,185.14,185.21,44.67044,15.94867,,,,,,
9/3/2019 14:29,185.22,185.24,185.2,185.21,48.16568,75.08279,,,,,,
9/3/2019 14:30,185.21,185.3,185.2,185.27,52.96428,140.8192,,,,,,
9/3/2019 14:31,185.27,185.33,185.25,185.31,55.8953,171.6823,,,,,,
9/3/2019 14:32,185.31,185.36,185.29,185.34,58.00903,170.2545,,,,,,
9/3/2019 14:33,185.34,185.36,185.3,185.3,54.27456,123.2035,,,,,,
9/3/2019 14:34,185.3,185.36,185.3,185.33,56.5349,111.5932,,,,,,
9/3/2019 14:35,185.32,185.33,185.21,185.23,48.01389,32.00467,,,,,,
9/3/2019 14:36,185.23,185.27,185.19,185.21,46.50512,0.01582377,,,,,,
9/3/2019 14:37,185.22,185.34,185.22,185.32,54.90339,62.40606,,,,,,
9/3/2019 14:38,185.31,185.33,185.29,185.31,54.07151,69.45686,,,,,,
9/3/2019 14:39,185.31,185.37,185.3,185.37,58.1633,99.1899,,,,,,
9/3/2019 14:40,185.35,185.35,185.28,185.31,53.07144,52.74863,,,,,,
9/3/2019 14:41,185.31,185.35,185.3,185.33,54.50164,65.02167,,,,,,
9/3/2019 14:42,185.33,185.34,185.27,185.29,51.14447,11.88011,,,,,,
9/3/2019 14:43,185.29,185.3,185.22,185.26,48.72113,-88.27466,,,,,,
9/3/2019 14:44,185.26,185.27,185.22,185.22,45.61785,-131.9221,,,,,,
9/3/2019 14:45,185.22,185.31,185.21,185.29,51.44653,-50.03515,,,,,,
9/3/2019 14:46,185.29,185.3,185.23,185.28,50.61233,-41.55493,,,,,,
9/3/2019 14:47,185.28,185.28,185.17,185.2,44.40549,-126.0344,,,,,,
9/3/2019 14:48,185.2,185.23,185.17,185.23,47.02876,-120.4914,,,,,,
9/3/2019 14:49,185.23,185.3,185.23,185.25,48.76489,-26.68902,,,,,,
9/3/2019 14:50,185.25,185.28,185.25,185.28,51.34047,-15.23694,,,,,,
9/3/2019 14:51,185.28,185.42,185.28,185.36,57.47935,128.6346,,,,,,
9/3/2019 14:52,185.36,185.36,185.28,185.31,52.98034,61.08139,,,,,,
9/3/2019 14:53,185.31,185.34,185.25,185.27,49.63407,17.8992,,,,,,
9/3/2019 14:54,185.27,185.29,185.21,185.21,45.0383,-75.27504,,,,,,
9/3/2019 14:55,185.22,185.33,185.21,185.32,53.53336,40.59227,,,,,,
9/3/2019 14:56,185.33,185.33,185.2,185.23,47.11591,-31.58951,,,,,,
9/3/2019 14:57,185.23,185.31,185.22,185.27,49.98583,0,,,,,,
9/3/2019 14:58,185.28,185.3,185.21,185.29,51.40477,-5.847849,,,,,,
9/3/2019 14:59,185.3,185.31,185.24,185.25,48.44345,-5.177132,,,,,,
9/3/2019 15:00,185.25,185.28,185.23,185.27,49.99517,-21.06801,,,,,,
9/3/2019 15:01,185.28,185.32,185.15,185.19,44.25818,-129.8264,,,,,,
9/3/2019 15:02,185.2,185.24,185.17,185.23,47.5014,-149.4926,,,,,,
9/3/2019 15:03,185.23,185.34,185.21,185.26,49.85806,2.653549,,,,,,
9/3/2019 15:04,185.26,185.29,185.2,185.23,47.55891,-70.23891,,,,,,
9/3/2019 15:05,185.23,185.25,185.15,185.15,41.99694,-183.2376,,,,,,
9/3/2019 15:06,185.15,185.23,185.15,185.22,47.75492,-116.979,,,,,,
9/3/2019 15:07,185.22,185.24,185.2,185.21,47.03703,-64.16864,,,,,,
9/3/2019 15:08,185.21,185.24,185.16,185.17,44.17424,-109.3712,,,,,,
9/3/2019 15:09,185.17,185.25,185.14,185.24,49.91812,-54.12428,,,,,,
9/3/2019 15:10,185.24,185.28,185.21,185.26,51.454,42.54479,,,,,,
9/3/2019 15:11,185.26,185.29,185.22,185.24,49.80899,47.4635,,,,,,
9/3/2019 15:12,185.25,185.26,185.21,185.23,48.96478,12.56459,,,,,,
9/3/2019 15:13,185.25,185.28,185.23,185.26,51.61174,81.66176,,,,,,
9/3/2019 15:14,185.26,185.31,185.24,185.28,53.3493,128.8,,,,,,
