Timestamp,Open,High,Low,Close,Rsi,Cci
4/9/2020 11:00:00 AM,2047.61,2047.61,2017.66,2034.30,64.38,70.14
4/9/2020 12:00:00 PM,2034.30,2036.00,2021.26,2034.50,64.44,38.91
4/9/2020 1:00:00 PM,2034.50,2042.87,2031.82,2039.36,65.96,88.08
4/9/2020 2:00:00 PM,2039.36,2041.00,2030.55,2032.00,61.66,51.73
4/9/2020 3:00:00 PM,2032.00,2034.00,2021.65,2026.90,58.81,-17.66
4/9/2020 4:00:00 PM,2027.41,2044.56,2026.04,2042.76,64.34,72.65
4/13/2020 10:00:00 AM,2040.00,2082.69,2038.00,2077.58,72.93,265.13
4/13/2020 11:00:00 AM,2077.58,2122.30,2077.14,2114.53,78.78,312.79
4/13/2020 12:00:00 PM,2114.53,2148.35,2111.77,2136.90,81.40,247.91
4/13/2020 1:00:00 PM,2136.90,2148.80,2126.06,2131.35,78.80,172.64
4/13/2020 2:00:00 PM,2131.35,2151.85,2129.84,2150.63,81.06,142.71
4/13/2020 3:00:00 PM,2150.63,2164.00,2145.40,2162.49,82.31,127.60
4/13/2020 4:00:00 PM,2162.49,2180.00,2158.00,2168.01,82.88,115.81
4/14/2020 10:00:00 AM,2200.47,2246.11,2186.21,2243.69,88.37,151.58
4/14/2020 11:00:00 AM,2243.69,2264.83,2236.91,2255.07,88.95,150.43
4/14/2020 12:00:00 PM,2255.07,2258.09,2241.21,2251.11,87.33,127.48
4/14/2020 1:00:00 PM,2251.11,2276.99,2251.11,2274.99,88.67,125.39
4/14/2020 2:00:00 PM,2274.99,2292.00,2268.45,2290.41,89.44,118.75
4/14/2020 3:00:00 PM,2290.41,2291.64,2278.00,2288.21,88.51,101.76
4/14/2020 4:00:00 PM,2288.21,2291.52,2270.01,2283.31,86.36,84.39
4/15/2020 10:00:00 AM,2257.68,2274.46,2245.00,2261.28,77.25,54.89
4/15/2020 11:00:00 AM,2261.28,2313.88,2258.97,2298.94,80.95,81.44
4/15/2020 12:00:00 PM,2298.94,2300.93,2283.33,2291.03,78.08,76.14
4/15/2020 1:00:00 PM,2291.03,2305.00,2288.12,2297.05,78.70,79.68
4/15/2020 2:00:00 PM,2297.05,2301.24,2293.28,2299.93,79.00,79.80
4/15/2020 3:00:00 PM,2299.93,2332.00,2299.00,2331.03,82.01,123.77
4/15/2020 4:00:00 PM,2331.03,2333.37,2302.65,2307.68,73.51,112.11
4/16/2020 10:00:00 AM,2347.70,2374.99,2335.00,2368.64,79.49,224.92
4/16/2020 11:00:00 AM,2368.64,2411.57,2356.00,2404.57,82.05,226.85
4/16/2020 12:00:00 PM,2404.57,2451.52,2398.35,2449.05,84.62,219.61
4/16/2020 1:00:00 PM,2449.05,2461.00,2353.51,2399.66,72.26,128.75
4/16/2020 2:00:00 PM,2399.66,2412.50,2371.65,2391.66,70.46,87.61
4/16/2020 3:00:00 PM,2391.66,2409.69,2382.00,2397.97,71.07,78.42
4/16/2020 4:00:00 PM,2397.97,2414.25,2372.28,2408.19,72.08,69.14
4/17/2020 10:00:00 AM,2372.20,2389.00,2316.02,2378.89,65.09,11.87
4/17/2020 11:00:00 AM,2378.89,2400.00,2345.34,2358.18,60.61,15.15
4/17/2020 12:00:00 PM,2358.18,2370.94,2346.01,2358.90,60.71,-10.13
4/17/2020 1:00:00 PM,2358.90,2360.00,2348.20,2352.07,59.16,-32.21
4/17/2020 2:00:00 PM,2352.07,2356.00,2336.15,2336.94,55.76,-69.06
4/17/2020 3:00:00 PM,2336.94,2340.42,2320.00,2337.08,55.78,-99.81
4/17/2020 4:00:00 PM,2337.08,2377.51,2336.06,2374.99,62.11,-35.58
4/20/2020 10:00:00 AM,2390.00,2444.98,2386.05,2398.85,65.46,83.88
4/20/2020 11:00:00 AM,2398.85,2432.00,2397.44,2420.86,68.25,90.43
4/20/2020 12:00:00 PM,2420.86,2430.18,2413.20,2425.48,68.82,110.75
4/20/2020 1:00:00 PM,2425.48,2426.84,2414.21,2415.13,65.96,93.63
4/20/2020 2:00:00 PM,2415.13,2419.50,2400.00,2419.00,66.52,71.31
4/20/2020 3:00:00 PM,2419.00,2419.75,2398.40,2399.41,61.06,52.09
4/20/2020 4:00:00 PM,2399.41,2408.62,2388.51,2393.08,59.36,31.48
4/21/2020 10:00:00 AM,2417.50,2428.31,2364.94,2390.33,58.60,21.71
4/21/2020 11:00:00 AM,2390.33,2392.35,2280.00,2293.46,39.41,-127.35
4/21/2020 12:00:00 PM,2293.46,2327.32,2279.66,2322.50,45.20,-129.26
4/21/2020 1:00:00 PM,2322.50,2333.00,2301.72,2316.00,44.19,-102.48
4/21/2020 2:00:00 PM,2316.00,2354.47,2313.85,2344.40,49.53,-65.27
4/21/2020 3:00:00 PM,2344.40,2371.00,2336.16,2340.93,48.92,-48.88
4/21/2020 4:00:00 PM,2340.93,2359.00,2318.58,2328.12,46.61,-66.46
4/22/2020 10:00:00 AM,2370.00,2392.99,2357.51,2387.67,56.81,11.65
4/22/2020 11:00:00 AM,2387.67,2394.00,2362.11,2363.29,52.40,6.60
4/22/2020 12:00:00 PM,2363.29,2371.08,2351.00,2361.00,51.99,-8.71
4/22/2020 1:00:00 PM,2361.00,2372.78,2360.50,2368.59,53.29,13.48
4/22/2020 2:00:00 PM,2368.59,2378.43,2366.34,2378.32,54.97,39.93
4/22/2020 3:00:00 PM,2378.32,2382.00,2375.09,2380.50,55.36,61.04
4/22/2020 4:00:00 PM,2380.50,2382.00,2361.09,2361.19,51.15,39.06
