Timestamp,Open,High,Low,Close,Rsi,Cci,Volume
11/19/2018 12:00:00 PM,54.93,57.86,54.66,57.56,53.58724,-6.615824,913000
11/19/2018 1:00:00 PM,57.56,59.2,57.36,57.99,54.95395,66.64519,1338000
11/19/2018 2:00:00 PM,57.99,59.19,57.64,58.94,57.9033,88.80654,875200
11/19/2018 3:00:00 PM,58.94,59.35,57.3,57.56,52.52353,66.48822,880300
11/19/2018 4:00:00 PM,57.56,59.38,56.81,58.83,56.52661,81.48164,1312300
11/20/2018 10:00:00 AM,64.12,65.38,62.55,64.5,69.0668,266.7201,1947400
11/20/2018 11:00:00 AM,64.5,66.15,62.45,62.77,63.08723,181.7525,2122200
11/20/2018 12:00:00 PM,62.77,65.18,62.6,62.92,63.38324,137.7303,1349800
11/20/2018 1:00:00 PM,62.92,64.73,62.36,64.62,66.64764,117.5596,879100
11/20/2018 2:00:00 PM,64.62,65.62,64.29,65.1,67.52789,110.9994,1024100
11/20/2018 3:00:00 PM,65.1,65.5,63.75,64.76,66.19521,86.71881,921800
11/20/2018 4:00:00 PM,64.76,65.74,63.18,63.8,62.44769,67.63866,1380700
11/21/2018 10:00:00 AM,61.74,62.93,60.91,61.92,55.78698,15.99139,976300
11/21/2018 11:00:00 AM,61.89,62.81,61.42,61.49,54.35885,6.674571,1013300
11/21/2018 12:00:00 PM,61.47,61.76,60.64,61.1,53.03279,-23.89219,545300
11/21/2018 1:00:00 PM,61.06,61.4,60.31,60.54,51.10499,-45.63688,263400
11/21/2018 2:00:00 PM,60.54,60.98,60.3,60.57,51.20731,-58.89841,227200
11/21/2018 3:00:00 PM,60.57,60.93,60.3,60.78,51.96513,-70.45291,243200
11/21/2018 4:00:00 PM,60.78,61.93,60.49,61.67,55.14478,-59.33815,698800
11/23/2018 10:00:00 AM,63.34,64.03,62.69,62.92,59.22703,27.36461,711300
11/23/2018 11:00:00 AM,62.93,63.08,61.97,62.13,55.77237,-6.63204,613600
11/23/2018 12:00:00 PM,62.13,62.29,61.34,62.2,56.01717,-24.34496,474600
11/23/2018 1:00:00 PM,62.2,62.56,61.56,62.3,56.38855,-8.389049,469400
11/26/2018 10:00:00 AM,60.16,60.28,59.16,59.16,43.86406,-151.6115,819700
11/26/2018 11:00:00 AM,59.19,59.5,58.01,58.24,40.99128,-178.1218,832000
11/26/2018 12:00:00 PM,58.24,59.14,57.94,58.64,42.74697,-152.3021,713800
11/26/2018 1:00:00 PM,58.64,59.33,58.05,58.76,43.29207,-118.1782,571300
11/26/2018 2:00:00 PM,58.74,59,57.95,58.12,41.04739,-113.5998,367500
11/26/2018 3:00:00 PM,58.12,58.24,57.6,57.78,39.86485,-110.6625,407700
11/26/2018 4:00:00 PM,57.72,58.22,56.93,57,37.21596,-108.5893,545900
11/27/2018 10:00:00 AM,57.94,58.76,57.16,57.72,41.10612,-76.60179,993400
11/27/2018 11:00:00 AM,57.75,58.34,56.66,56.77,37.77988,-87.77306,841500
11/27/2018 12:00:00 PM,56.77,56.86,55.84,56.09,35.56168,-110.8441,666300
11/27/2018 1:00:00 PM,56.09,57.25,56,56.87,39.91925,-92.58129,453100
11/27/2018 2:00:00 PM,56.91,57.1,55.8,55.83,36.38613,-109.4362,550000
11/27/2018 3:00:00 PM,55.83,55.91,55.05,55.4,35.00655,-138.2478,350400
11/27/2018 4:00:00 PM,55.39,55.94,55.22,55.38,34.94019,-123.1701,609100
11/28/2018 10:00:00 AM,54.26,55.18,54.12,54.86,33.1792,-143.8012,663200
11/28/2018 11:00:00 AM,54.92,56.19,54.66,55.65,38.26946,-82.86781,694500
11/28/2018 12:00:00 PM,55.65,55.83,55.09,55.43,37.41469,-75.48053,433600
11/28/2018 1:00:00 PM,55.43,55.43,52.48,53,29.56083,-162.8216,1050800
11/28/2018 2:00:00 PM,52.99,53.53,52.62,52.79,28.99439,-167.713,515300
11/28/2018 3:00:00 PM,52.79,53.05,52.2,53.04,30.69692,-154.7938,545800
11/28/2018 4:00:00 PM,53.04,53.24,52.27,52.91,30.2902,-122.3987,668200
11/29/2018 10:00:00 AM,54.43,54.91,53.58,54.8,42.26661,-30.05099,637600
11/29/2018 11:00:00 AM,54.82,57.38,54.72,56.88,52.03352,80.93764,1400700
11/29/2018 12:00:00 PM,56.85,57.04,54.81,54.85,44.17833,41.78188,834900
11/29/2018 1:00:00 PM,54.89,55.69,54.7,54.98,44.75352,24.23991,357800
11/29/2018 2:00:00 PM,54.98,55.43,54.5,54.64,43.49131,14.38468,304400
11/29/2018 3:00:00 PM,54.62,54.87,53.27,53.28,38.77987,-50.06437,466000
11/29/2018 4:00:00 PM,53.28,54.62,53.25,54.51,44.62283,-22.16517,826300
11/30/2018 10:00:00 AM,55.16,55.4,54.04,54.08,43.07505,6.319678,539100
11/30/2018 11:00:00 AM,54.08,54.31,52.17,52.88,39.00862,-81.00364,802900
11/30/2018 12:00:00 PM,52.86,53.5,52.65,53,39.62244,-75.15659,466600
11/30/2018 1:00:00 PM,52.97,53.71,52.97,53.64,42.92182,-44.94125,236200
11/30/2018 2:00:00 PM,53.65,53.69,52.38,52.52,38.91419,-85.07375,319600
11/30/2018 3:00:00 PM,52.51,52.73,52.2,52.39,38.46525,-110.8793,338300
11/30/2018 4:00:00 PM,52.4,52.45,51.65,52.3,38.13722,-122.7139,885000
12/3/2018 10:00:00 AM,46.51,48.03,46.17,47.85,26.22746,-287.2301,1650000
12/3/2018 11:00:00 AM,47.85,48.72,47.15,48.55,29.93412,-192.1693,1376500
12/3/2018 12:00:00 PM,48.56,48.82,47.73,48.46,29.72731,-139.1637,975100
12/3/2018 1:00:00 PM,48.46,48.46,47.39,48.03,28.70683,-116.2698,686800
12/3/2018 2:00:00 PM,48,48.43,47.22,48.27,30.14814,-92.7516,421300
12/3/2018 3:00:00 PM,48.27,48.65,47.51,47.86,29.06705,-76.59641,313300
12/3/2018 4:00:00 PM,47.86,48.3,47.22,47.86,27.98628,-70.39571,599800
12/4/2018 10:00:00 AM,48.5,48.65,47.08,48.32,31.08241,-56.39815,871000
12/4/2018 11:00:00 AM,48.32,48.61,47.72,48.34,31.22087,-44.4362,594700
12/4/2018 12:00:00 PM,48.34,49.15,47.82,49.06,36.1909,-24.67447,545300
12/4/2018 1:00:00 PM,49.07,54.99,49.07,54.36,59.43051,125.5635,2916100
12/4/2018 2:00:00 PM,54.44,58.51,54.3,55.59,62.81525,201.0808,2840200
12/4/2018 3:00:00 PM,55.65,56.56,54.15,54.97,60.09365,147.8754,2048000
12/4/2018 4:00:00 PM,54.97,57.5,54.97,56.98,65.33707,146.9888,2096600
12/6/2018 10:00:00 AM,63.91,66.14,62.6,64.83,77.67464,215.3654,2152300
12/6/2018 11:00:00 AM,64.93,66.33,62.75,66.14,79.01685,166.7236,2218400
12/6/2018 12:00:00 PM,66.16,68.5,65.39,65.39,76.19255,143.5695,2417600
12/6/2018 1:00:00 PM,65.39,66.12,63.09,63.75,70.27731,100.5857,1109200
12/6/2018 2:00:00 PM,63.76,66.25,62.92,62.99,67.65599,83.82739,1209400
12/6/2018 3:00:00 PM,63.08,64.08,61.92,62,64.29189,58.2324,1408500
12/6/2018 4:00:00 PM,62,62.45,58.62,58.87,54.98325,22.18222,2148100
12/7/2018 10:00:00 AM,59.39,59.5,57.37,58.7,54.52153,-3.560184,902700
12/7/2018 11:00:00 AM,58.7,63.13,58.46,61.5,60.41748,20.27952,2000500
12/7/2018 12:00:00 PM,61.5,64.63,61.31,64.63,65.76113,50.47528,1801600
