Timestamp,Open,High,Low,Close,Volume
12/19/2012 0:00,176,196.8,175.6,196.3,1110000
12/20/2012 0:00,194.5,208.2,192.4,205.7,846820
12/21/2012 0:00,239.5,241.1,225.9,232.8,1320000
12/24/2012 0:00,226.3,231.8,224.1,225.5,366930
12/26/2012 0:00,233.6,251.5,232.1,250.7,697850
12/27/2012 0:00,249.9,282.8,244.2,250.3,1530000
12/28/2012 0:00,266.9,279,253.3,275.4,1190000
12/31/2012 0:00,285.6,292,202.5,209,1390000
1/2/2013 0:00,167.2,178.4,160.2,160.7,1280000
1/3/2013 0:00,161,164.5,154.1,159.3,1340000
1/4/2013 0:00,159.4,160.7,151.7,153,1170000
1/7/2013 0:00,157,159.5,151.5,152.7,1060000
1/8/2013 0:00,151,156.4,148.4,149.6,1170000
1/9/2013 0:00,144.6,152.6,144,149.8,894300
1/10/2013 0:00,144.5,148.8,142.2,142.7,1040000
1/11/2013 0:00,143.8,146.5,141.3,141.6,836310
1/14/2013 0:00,141.3,143.2,135.7,137.3,1070000
1/15/2013 0:00,140.5,141.3,134.4,136.7,900080
1/16/2013 0:00,134.8,136.1,128.4,131.2,1060000
1/17/2013 0:00,127.2,132.6,126.6,132.5,923540
1/18/2013 0:00,130.1,131.6,114.4,115.6,1700000
1/22/2013 0:00,115.5,120,107.7,108.7,1020000
1/23/2013 0:00,108.7,109.4,101.8,102.9,1270000
1/24/2013 0:00,104,115.9,101,103.8,2020000
1/25/2013 0:00,104.3,109.6,102,105.6,1590000
1/28/2013 0:00,105.2,113.9,104.9,111.5,1420000
1/29/2013 0:00,114.6,116.2,103,104.5,1810000
1/30/2013 0:00,110,118,106.9,117.9,1810000
1/31/2013 0:00,119.3,120.8,113.2,118.5,1240000
2/1/2013 0:00,109.2,109.3,103.5,106.4,1590000
2/4/2013 0:00,112.9,121.2,110.4,121,1680000
2/5/2013 0:00,115.9,116.9,107,111.4,1440000
2/6/2013 0:00,116.1,116.6,110.1,110.2,1300000
2/7/2013 0:00,107.5,118.1,106.8,109.2,2040000
2/8/2013 0:00,107.9,108.1,104.1,105.3,1370000
2/11/2013 0:00,104.4,106.2,100.6,101.2,1180000
2/12/2013 0:00,101.2,102.6,97.7,99.2,1330000
2/13/2013 0:00,98.3,103.8,96.8,100.7,1570000
2/14/2013 0:00,101.7,102.9,96.4,97.4,1370000
2/15/2013 0:00,95.1,100.3,94.7,96,1750000
2/19/2013 0:00,94.6,94.6,87.1,87.6,1930000
2/20/2013 0:00,88,103.5,88,103.1,2360000
2/21/2013 0:00,102.4,113.9,102.4,106.3,3520000
2/22/2013 0:00,101.4,105.5,99,99.1,1670000
2/25/2013 0:00,92.6,128.6,90,126.5,4270000
2/26/2013 0:00,123.1,138.4,115.5,119.9,5290000
2/27/2013 0:00,121.3,124,99.1,103.1,3210000
2/28/2013 0:00,103,109.5,99.3,109.3,2660000
3/1/2013 0:00,119.9,124.9,108.9,112.6,4400000
3/4/2013 0:00,115.7,117,100.4,100.6,2614060
3/5/2013 0:00,94.3,96.2,93,94,2110480
3/6/2013 0:00,91.9,98.4,91.5,94.7,2400320
3/7/2013 0:00,94.5,95.8,91,91,1991730
3/8/2013 0:00,88,93.8,87.5,88.6,2727080
3/11/2013 0:00,88.4,89.2,81,81.3,2717880
3/12/2013 0:00,81.6,88.6,80.4,83.6,3330000
3/13/2013 0:00,83,86.5,81.5,82.6,2430000
3/14/2013 0:00,80.8,82.5,79,79.7,2049510
3/15/2013 0:00,80.4,83,78.6,79.3,2293134
3/18/2013 0:00,89.6,90,80.8,87.8,3748847
3/19/2013 0:00,83.9,97,83.1,87.8,5824458
3/20/2013 0:00,81.7,83.4,78,78.6,3596701
3/21/2013 0:00,82.6,85,78.7,82.9,3546476
3/22/2013 0:00,80,85,79.4,82.4,2808121
3/25/2013 0:00,78.1,85,76,80.2,4795864
3/26/2013 0:00,77.6,79.5,75.2,75.8,3145414
3/27/2013 0:00,79.7,80.9,76.3,77.4,2907393
3/28/2013 0:00,76.9,78.3,76.3,76.9,2003600
4/1/2013 0:00,76.2,79,75.6,77.3,2094028
4/2/2013 0:00,75.1,75.6,72.5,72.5,2540617
4/3/2013 0:00,72.4,79.1,71.5,77.5,3409698
4/4/2013 0:00,77.3,81.4,75,75.2,3338048
4/5/2013 0:00,83.5,84.3,75.5,75.7,3394463
4/8/2013 0:00,74.5,76.5,71.3,71.6,2444681
4/9/2013 0:00,70.2,72.5,68.1,69.5,2606773
4/10/2013 0:00,68,68.5,65.5,65.7,2489678
4/11/2013 0:00,65.3,66.3,63,65.2,2122926
4/12/2013 0:00,66.9,68.1,62.6,62.8,2368174
4/15/2013 0:00,63.7,82.1,61.8,77.5,6581236
4/16/2013 0:00,69.4,72.2,63.5,63.9,3900936
4/17/2013 0:00,68.9,83.4,68.8,78.8,6586270
4/18/2013 0:00,78.4,89.5,78,85.6,5196262
4/19/2013 0:00,83.2,84.3,72,73.3,3273756
4/22/2013 0:00,74.2,77.7,69,70.3,2690155
4/23/2013 0:00,65.8,76.3,62.5,62.9,3536582
4/24/2013 0:00,63.3,64.6,61.6,63.8,1975394
4/25/2013 0:00,62.2,65.7,61.7,64.6,2288152
4/26/2013 0:00,66.3,67.9,64.3,64.8,2475625
4/29/2013 0:00,62.9,65,62,64.1,1956052
4/30/2013 0:00,64.1,66.2,62.5,63,2240983
5/1/2013 0:00,64,68.3,63.6,68.2,3233335
5/2/2013 0:00,65.8,66.4,63,63.6,2797854
5/3/2013 0:00,60.7,61.9,60.2,60.8,2398123
5/6/2013 0:00,60.7,61,58.1,58.7,1951827
5/7/2013 0:00,57.1,59.4,56.6,57.6,1616345
5/8/2013 0:00,58.7,60.7,57.7,58.3,1747859
5/9/2013 0:00,59.4,62.9,59,60.5,3225856
5/10/2013 0:00,61.4,62.7,59.3,59.4,2349691
5/13/2013 0:00,59.6,60.7,58.4,58.6,1702240
5/14/2013 0:00,58.1,59.2,57.3,57.8,2022719
5/15/2013 0:00,58.9,59.8,57.6,58.6,2108324
5/16/2013 0:00,59.4,60.9,58.1,59.7,2185860
5/17/2013 0:00,59.1,59.3,56.2,56.5,2518471
5/20/2013 0:00,58,58.2,56.3,58.1,1889680
5/21/2013 0:00,57.6,59.9,57.1,59,2246690
5/22/2013 0:00,58.1,62.3,57.3,60.4,4593436
5/23/2013 0:00,66.1,66.3,60.5,61.1,4496366
5/24/2013 0:00,62.8,63.5,60.7,61.1,2102078
5/28/2013 0:00,57.5,59.7,56.8,57.8,2419279
5/29/2013 0:00,59.8,62.3,58.8,59.6,2911031
5/30/2013 0:00,60,61.3,58.4,59.6,2213925
5/31/2013 0:00,60.8,63.9,59.4,63.4,3109817
6/3/2013 0:00,63.4,70.2,63.1,63.3,4680362
6/4/2013 0:00,64.2,68.8,63.1,64.9,3256400
6/5/2013 0:00,67.3,70.9,66.1,70.3,3878874
6/6/2013 0:00,71.5,78.2,68.6,68.8,4134339
6/7/2013 0:00,64.8,66.8,62.2,62.5,4209094
6/10/2013 0:00,60.83,63.05,60.35,61.06,4559208
6/11/2013 0:00,66.06,69.92,63.77,69.21,4570276
6/12/2013 0:00,65.98,78.77,65.64,77.25,5637545
6/13/2013 0:00,77.16,79.2,69.02,69.77,5261955
6/14/2013 0:00,70.29,74.1,67.14,73.49,4546330
6/17/2013 0:00,69.98,73.5,69.05,70.49,4258472
6/18/2013 0:00,70.04,70.69,68.55,68.58,3449539
6/19/2013 0:00,69.74,70.78,62.34,68.48,6458057
6/20/2013 0:00,74.18,88.75,73.6,84.4,8603126
6/21/2013 0:00,78.98,87.87,77,78.13,6632839
6/24/2013 0:00,86.28,89.84,82.44,87.47,5946304
6/25/2013 0:00,81.99,86.06,81.13,82.22,4041266
6/26/2013 0:00,78.2,81.89,78.01,78.68,3867249
6/27/2013 0:00,74.82,76.12,72.2,72.4,3978626
6/28/2013 0:00,75.18,76.38,69.27,71.69,4462773
7/1/2013 0:00,69.45,69.74,64.55,66.97,3360702
7/2/2013 0:00,68.66,71.09,65.5,69.1,3952155
7/3/2013 0:00,70.52,71.17,66.68,67.48,2528718
7/5/2013 0:00,64,66.15,60.57,60.57,4227935
7/8/2013 0:00,57.2,57.75,54.5,55.26,4547772
7/9/2013 0:00,52.14,53.64,51.62,52.71,3186788
7/10/2013 0:00,52.71,53.22,51.11,51.56,3793223
7/11/2013 0:00,48.33,50.05,47.93,48.86,4007763
7/12/2013 0:00,48.91,50.51,48.4,49.82,2875083
7/15/2013 0:00,48.88,49.7,47.01,47.64,2190153
7/16/2013 0:00,47.46,51.21,47.29,50.08,4175166
7/17/2013 0:00,48.83,49.78,46.61,46.75,3687526
7/18/2013 0:00,45.92,46.35,44.05,45.1,3681647
7/19/2013 0:00,45.8,46.94,42.73,43.24,3821770
7/22/2013 0:00,42.61,43.5,41.04,41.31,3593057
7/23/2013 0:00,40.52,42.35,39.89,40.96,3889891
7/24/2013 0:00,40.35,42.82,40.25,41.99,3904143
7/25/2013 0:00,42.84,43,39.7,39.99,3420661
7/26/2013 0:00,40.81,42.19,39.39,39.61,3261264
7/29/2013 0:00,40.43,41.4,39.69,40.53,2397115
7/30/2013 0:00,40.3,41.12,38.94,39.09,3010459
7/31/2013 0:00,38.92,39.04,35.69,37.4,5135872
8/1/2013 0:00,35.4,35.8,34.8,35.09,4299147
8/2/2013 0:00,35.13,35.21,33.19,33.33,4378470
8/5/2013 0:00,33.06,33.44,32.24,32.45,3336391
8/6/2013 0:00,32.78,34.88,32.58,34.4,4794500
8/7/2013 0:00,35.48,36.98,34.7,35.1,5456631
8/8/2013 0:00,33.81,35.47,33.5,33.93,3927898
8/9/2013 0:00,34.1,35.66,33.47,34.95,5207798
8/12/2013 0:00,36.44,36.56,34.26,34.57,4237428
